,for_date,data_source,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
108,2022-01-17,rentcast,as163,as1631a2,1045 Silverstone Ln,Cedar,Park,TX,2.0,"1,153",2021-06-19,Single Family,1.732,0.2,2022-01-18 00:44:58.587340
109,2022-01-17,rentcast,as163,as1631a2,1018 Audra St,Cedar,Park,TX,2.0,"1,165",2022-01-11,Single Family,1.732,0.21,2022-01-18 00:44:58.587340
110,2022-01-17,rentcast,as163,as1631a2,1006 Reynaldo St,Cedar,Park,TX,2.0,"1,297",2022-01-02,Single Family,1.202,0.27,2022-01-18 00:44:58.587340
111,2022-01-17,rentcast,as163,as1631a2,1201 Brashear Ln,Cedar,Park,TX,2.0,"1,343",2021-11-15,Single Family,1.302,0.23,2022-01-18 00:44:58.587340
112,2022-01-17,rentcast,as163,as1631a2,800 Lone Star Dr,Cedar,Park,TX,2.0,"1,253",2021-06-19,Single Family,1.522,0.49,2022-01-18 00:44:58.587340
113,2022-01-17,rentcast,as163,as1631a2,1047 Silverstone Ln,Cedar,Park,TX,2.0,"1,368",2021-09-13,Single Family,1.352,0.2,2022-01-18 00:44:58.587340
114,2022-01-17,rentcast,as163,as1631a2,2006 Coachlamp Dr,Cedar,Park,TX,2.0,"1,180",2021-12-29,Single Family,1.522,0.88,2022-01-18 00:44:58.587340
115,2022-01-17,rentcast,as163,as1631a2,1101 Doris Ln,Cedar,Park,TX,2.0,"1,316",2021-06-30,Single Family,1.442,0.47,2022-01-18 00:44:58.587340
116,2022-01-17,rentcast,as163,as1631a2,703 Blue Oak Cir,Cedar,Park,TX,2.0,"1,303",2021-06-20,Single Family,1.372,0.52,2022-01-18 00:44:58.587340
117,2022-01-17,rentcast,as163,as1631a2,601 Doris Ln,Cedar,Park,TX,1.0,"33,320",2022-01-11,Apartment,0.042,0.57,2022-01-18 00:44:58.587340
118,2022-01-17,rentcast,as163,as1631a2,"1004 W Whitestone Blvd, Unit 142820",Cedar,Park,TX,2.0,"1,150",2021-09-19,Apartment,1.262,0.15,2022-01-18 00:44:58.587340
119,2022-01-17,rentcast,as163,as1631a2,"1004 W Whitestone Blvd, # 142820",Cedar,Park,TX,2.0,"1,150",2021-06-30,Apartment,1.262,0.15,2022-01-18 00:44:58.587340
120,2022-01-17,rentcast,as163,as1631a3,1201 W Whitestone Crossing Cedar Park,Cedar,Park,TX,1.0,687,2021-06-30,Apartment,1.462,0.02,2022-01-18 00:44:58.587340
121,2022-01-17,rentcast,as163,as1631a3,"1210 W Whitestone Xing, Unit 232731-687",Austin,TX,78613,1.0,687,2021-09-18,Apartment,1.742,0.07,2022-01-18 00:44:58.587340
122,2022-01-17,rentcast,as163,as1631a3,"1004 W Whitestone Blvd, Unit 142944",Cedar,Park,TX,1.0,660,2021-09-19,Apartment,1.432,0.15,2022-01-18 00:44:58.587340
123,2022-01-17,rentcast,as163,as1631a3,"1004 W Whitestone Blvd, # 142944",Cedar,Park,TX,1.0,660,2021-06-30,Apartment,1.432,0.15,2022-01-18 00:44:58.587340
124,2022-01-17,rentcast,as163,as1631a3,1201 W Whitestone Blvd,Cedar,Park,TX,1.5,"1,024",2022-01-11,Apartment,1.232,0.02,2022-01-18 00:44:58.587340
125,2022-01-17,rentcast,as163,as1631a3,"1210 W Whitestone Xing, Unit 232731-1024",Austin,TX,78613,1.5,"1,024",2021-09-18,Apartment,1.712,0.07,2022-01-18 00:44:58.587340
126,2022-01-17,rentcast,as163,as1631a3,1507 Cedar Park Rd,Cedar,Park,TX,1.0,"2,864",2022-01-11,Apartment,0.302,0.58,2022-01-18 00:44:58.587340
127,2022-01-17,rentcast,as163,as1631a3,1045 Silverstone Ln,Cedar,Park,TX,2.0,"1,153",2021-06-19,Single Family,1.732,0.2,2022-01-18 00:44:58.587340
128,2022-01-17,rentcast,as163,as1631a3,1018 Audra St,Cedar,Park,TX,2.0,"1,165",2022-01-11,Single Family,1.732,0.21,2022-01-18 00:44:58.587340
129,2022-01-17,rentcast,as163,as1631a3,1006 Reynaldo St,Cedar,Park,TX,2.0,"1,297",2022-01-02,Single Family,1.202,0.27,2022-01-18 00:44:58.587340
130,2022-01-17,rentcast,as163,as1631a3,800 Lone Star Dr,Cedar,Park,TX,2.0,"1,253",2021-06-19,Single Family,1.522,0.49,2022-01-18 00:44:58.587340
131,2022-01-17,rentcast,as163,as1631a3,1201 Brashear Ln,Cedar,Park,TX,2.0,"1,343",2021-11-15,Single Family,1.302,0.23,2022-01-18 00:44:58.587340
132,2022-01-17,rentcast,as163,as1631a3,2006 Coachlamp Dr,Cedar,Park,TX,2.0,"1,180",2021-12-29,Single Family,1.522,0.88,2022-01-18 00:44:58.587340
133,2022-01-17,rentcast,as163,as1631a3,1047 Silverstone Ln,Cedar,Park,TX,2.0,"1,368",2021-09-13,Single Family,1.352,0.2,2022-01-18 00:44:58.587340
134,2022-01-17,rentcast,as163,as1631a3,1301 W Whitestone Blvd,Cedar,Park,TX,,,2022-01-11,Apartment,,0.13,2022-01-18 00:44:58.587340
135,2022-01-17,rentcast,as163,as1631a3,703 Blue Oak Cir,Cedar,Park,TX,2.0,"1,303",2021-06-20,Single Family,1.372,0.52,2022-01-18 00:44:58.587340
136,2022-01-17,rentcast,as163,as1631a3,1101 Doris Ln,Cedar,Park,TX,2.0,"1,316",2021-06-30,Single Family,1.442,0.47,2022-01-18 00:44:58.587340
137,2022-01-17,rentcast,as163,as1631a3,"1004 W Whitestone Blvd, Unit 142820",Cedar,Park,TX,2.0,"1,150",2021-09-19,Apartment,1.262,0.15,2022-01-18 00:44:58.587340
138,2022-01-17,rentcast,as163,as1631a3,"1004 W Whitestone Blvd, # 142820",Cedar,Park,TX,2.0,"1,150",2021-06-30,Apartment,1.262,0.15,2022-01-18 00:44:58.587340
139,2022-01-17,rentcast,as163,as1631a3,1813 Woodstone Ct,Cedar,Park,TX,2.0,"1,296",2021-08-11,Single Family,1.622,0.78,2022-01-18 00:44:58.587340
140,2022-01-17,rentcast,as163,as1631b1,1201 W Whitestone Blvd,Cedar,Park,TX,1.5,"1,024",2022-01-11,Apartment,1.232,0.02,2022-01-18 00:44:58.587340
141,2022-01-17,rentcast,as163,as1631b1,"1210 W Whitestone Xing, Unit 232731-1024",Austin,TX,78613,1.5,"1,024",2021-09-18,Apartment,1.712,0.07,2022-01-18 00:44:58.587340
142,2022-01-17,rentcast,as163,as1631b1,1201 W Whitestone Crossing Cedar Park,Cedar,Park,TX,1.0,687,2021-06-30,Apartment,1.462,0.02,2022-01-18 00:44:58.587340
143,2022-01-17,rentcast,as163,as1631b1,"1210 W Whitestone Xing, Unit 232731-687",Austin,TX,78613,1.0,687,2021-09-18,Apartment,1.742,0.07,2022-01-18 00:44:58.587340
144,2022-01-17,rentcast,as163,as1631b1,"1004 W Whitestone Blvd, Unit 142944",Cedar,Park,TX,1.0,660,2021-09-19,Apartment,1.432,0.15,2022-01-18 00:44:58.587340
145,2022-01-17,rentcast,as163,as1631b1,"1004 W Whitestone Blvd, # 142944",Cedar,Park,TX,1.0,660,2021-06-30,Apartment,1.432,0.15,2022-01-18 00:44:58.587340
146,2022-01-17,rentcast,as163,as1631b1,1045 Silverstone Ln,Cedar,Park,TX,2.0,"1,153",2021-06-19,Single Family,1.732,0.2,2022-01-18 00:44:58.587340
