,for_date,comp_id,data_source,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
86,2022-01-17,ddc6cd16-3505-4dcc-b532-04258c65b5cf,rentcast,as163,as1631a1,1507 Cedar Park Rd,Cedar,Park,TX,1.0,"2,864",2022-01-11,Apartment,0.302,0.58,2022-01-18 04:29:17.242574
87,2022-01-17,1fd15443-ca6d-44a1-8489-dcc8915f502a,rentcast,as163,as1631a1,1301 W Whitestone Blvd,Cedar,Park,TX,,,2022-01-11,Apartment,,0.13,2022-01-18 04:29:17.242574
88,2022-01-17,e631f36b-7474-4ed8-8a61-78044750bdf8,rentcast,as163,as1631a1,1045 Silverstone Ln,Cedar,Park,TX,2.0,"1,153",2021-06-19,Single Family,1.732,0.2,2022-01-18 04:29:17.242574
89,2022-01-17,388ed7fb-85e3-4ddf-9d30-76b286f8353e,rentcast,as163,as1631a1,1018 Audra St,Cedar,Park,TX,2.0,"1,165",2022-01-11,Single Family,1.732,0.21,2022-01-18 04:29:17.242574
90,2022-01-17,b1992e45-849e-41e3-82e4-0124a9643521,rentcast,as163,as1631a1,1006 Reynaldo St,Cedar,Park,TX,2.0,"1,297",2022-01-02,Single Family,1.202,0.27,2022-01-18 04:29:17.242574
91,2022-01-17,24f214ca-9a2a-4aff-98eb-239d4d8d0f44,rentcast,as163,as1631a1,1201 Brashear Ln,Cedar,Park,TX,2.0,"1,343",2021-11-15,Single Family,1.302,0.23,2022-01-18 04:29:17.242574
92,2022-01-17,47b0afc5-c5fc-47d5-a0ca-dce1251ec330,rentcast,as163,as1631a1,800 Lone Star Dr,Cedar,Park,TX,2.0,"1,253",2021-06-19,Single Family,1.522,0.49,2022-01-18 04:29:17.242574
93,2022-01-17,48a964ab-9f97-4472-8d9a-f225505d2727,rentcast,as163,as1631a1,1047 Silverstone Ln,Cedar,Park,TX,2.0,"1,368",2021-09-13,Single Family,1.352,0.2,2022-01-18 04:29:17.242574
94,2022-01-17,46983d28-39e7-46b6-94d6-a5a75fbd8bdb,rentcast,as163,as1631a1,601 Doris Ln,Cedar,Park,TX,1.0,"33,320",2022-01-11,Apartment,0.042,0.57,2022-01-18 04:29:17.242574
95,2022-01-17,ca4933e7-031b-4c55-b333-8241932cfcc9,rentcast,as163,as1631a1,2006 Coachlamp Dr,Cedar,Park,TX,2.0,"1,180",2021-12-29,Single Family,1.522,0.88,2022-01-18 04:29:17.242574
96,2022-01-17,b5974d4a-658b-4469-9e2e-fceed93f65a2,rentcast,as163,as1631a1,1101 Doris Ln,Cedar,Park,TX,2.0,"1,316",2021-06-30,Single Family,1.442,0.47,2022-01-18 04:29:17.242574
97,2022-01-17,e560bb74-7333-4e61-8c8c-9adb54109c97,rentcast,as163,as1631a1,703 Blue Oak Cir,Cedar,Park,TX,2.0,"1,303",2021-06-20,Single Family,1.372,0.52,2022-01-18 04:29:17.242574
98,2022-01-17,36352c39-3e40-4848-9255-802627b3d1b5,rentcast,as163,as1631a1,"1004 W Whitestone Blvd, Unit 142820",Cedar,Park,TX,2.0,"1,150",2021-09-19,Apartment,1.262,0.15,2022-01-18 04:29:17.242574
99,2022-01-17,e421b74e-c78b-4103-bb10-8e4487c3ebc8,rentcast,as163,as1631a1,"1004 W Whitestone Blvd, # 142820",Cedar,Park,TX,2.0,"1,150",2021-06-30,Apartment,1.262,0.15,2022-01-18 04:29:17.242574
100,2022-01-17,ac21b618-3378-4d4e-ad1f-fabbc02bf7f4,rentcast,as163,as1631a2,1201 W Whitestone Crossing Cedar Park,Cedar,Park,TX,1.0,687,2021-06-30,Apartment,1.462,0.02,2022-01-18 04:29:17.242574
101,2022-01-17,79d83bf9-6baa-4458-99e1-fb19237f7d60,rentcast,as163,as1631a2,"1210 W Whitestone Xing, Unit 232731-687",Austin,TX,78613,1.0,687,2021-09-18,Apartment,1.742,0.07,2022-01-18 04:29:17.242574
102,2022-01-17,1a59773c-8f3a-44a1-a8d7-c7e83a3736d2,rentcast,as163,as1631a2,"1004 W Whitestone Blvd, Unit 142944",Cedar,Park,TX,1.0,660,2021-09-19,Apartment,1.432,0.15,2022-01-18 04:29:17.242574
