,for_date,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance
105,17/01/2022,as1631a2,"1210 W Whitestone Xing, Unit 232731-1024
Austin, TX 78613","1210 W Whitestone Xing, Unit 232731-1024",Austin,TX,78613,1.5,"1,024",2021-09-18,Apartment,1.712,0.07
106,17/01/2022,as1631a2,"1507 Cedar Park Rd
Cedar Park, TX 78613",1507 Cedar Park Rd,Cedar,Park,TX,1.0,"2,864",2022-01-11,Apartment,0.302,0.58
107,17/01/2022,as1631a2,"1301 W Whitestone Blvd
Cedar Park, TX 78613",1301 W Whitestone Blvd,Cedar,Park,TX,,,2022-01-11,Apartment,,0.13
108,17/01/2022,as1631a2,"1045 Silverstone Ln
Cedar Park, TX 78613",1045 Silverstone Ln,Cedar,Park,TX,2.0,"1,153",2021-06-19,Single Family,1.732,0.2
109,17/01/2022,as1631a2,"1018 Audra St
Cedar Park, TX 78613",1018 Audra St,Cedar,Park,TX,2.0,"1,165",2022-01-11,Single Family,1.732,0.21
110,17/01/2022,as1631a2,"1006 Reynaldo St
Cedar Park, TX 78613",1006 Reynaldo St,Cedar,Park,TX,2.0,"1,297",2022-01-02,Single Family,1.202,0.27
111,17/01/2022,as1631a2,"1201 Brashear Ln
Cedar Park, TX 78613",1201 Brashear Ln,Cedar,Park,TX,2.0,"1,343",2021-11-15,Single Family,1.302,0.23
112,17/01/2022,as1631a2,"800 Lone Star Dr
Cedar Park, TX 78613",800 Lone Star Dr,Cedar,Park,TX,2.0,"1,253",2021-06-19,Single Family,1.522,0.49
113,17/01/2022,as1631a2,"1047 Silverstone Ln
Cedar Park, TX 78613",1047 Silverstone Ln,Cedar,Park,TX,2.0,"1,368",2021-09-13,Single Family,1.352,0.2
114,17/01/2022,as1631a2,"2006 Coachlamp Dr
Cedar Park, TX 78613",2006 Coachlamp Dr,Cedar,Park,TX,2.0,"1,180",2021-12-29,Single Family,1.522,0.88
115,17/01/2022,as1631a2,"1101 Doris Ln
Cedar Park, TX 78613",1101 Doris Ln,Cedar,Park,TX,2.0,"1,316",2021-06-30,Single Family,1.442,0.47
116,17/01/2022,as1631a2,"703 Blue Oak Cir
Cedar Park, TX 78613",703 Blue Oak Cir,Cedar,Park,TX,2.0,"1,303",2021-06-20,Single Family,1.372,0.52
117,17/01/2022,as1631a2,"601 Doris Ln
Cedar Park, TX 78613",601 Doris Ln,Cedar,Park,TX,1.0,"33,320",2022-01-11,Apartment,0.042,0.57
118,17/01/2022,as1631a2,"1004 W Whitestone Blvd, Unit 142820
Cedar Park, TX 78613","1004 W Whitestone Blvd, Unit 142820",Cedar,Park,TX,2.0,"1,150",2021-09-19,Apartment,1.262,0.15
119,17/01/2022,as1631a2,"1004 W Whitestone Blvd, # 142820
Cedar Park, TX 78613","1004 W Whitestone Blvd, # 142820",Cedar,Park,TX,2.0,"1,150",2021-06-30,Apartment,1.262,0.15
120,17/01/2022,as1631a3,"1201 W Whitestone Crossing Cedar Park
Cedar Park, TX 78613",1201 W Whitestone Crossing Cedar Park,Cedar,Park,TX,1.0,687,2021-06-30,Apartment,1.462,0.02
121,17/01/2022,as1631a3,"1210 W Whitestone Xing, Unit 232731-687
Austin, TX 78613","1210 W Whitestone Xing, Unit 232731-687",Austin,TX,78613,1.0,687,2021-09-18,Apartment,1.742,0.07
122,17/01/2022,as1631a3,"1004 W Whitestone Blvd, Unit 142944
Cedar Park, TX 78613","1004 W Whitestone Blvd, Unit 142944",Cedar,Park,TX,1.0,660,2021-09-19,Apartment,1.432,0.15
123,17/01/2022,as1631a3,"1004 W Whitestone Blvd, # 142944
Cedar Park, TX 78613","1004 W Whitestone Blvd, # 142944",Cedar,Park,TX,1.0,660,2021-06-30,Apartment,1.432,0.15
124,17/01/2022,as1631a3,"1201 W Whitestone Blvd
Cedar Park, TX 78613",1201 W Whitestone Blvd,Cedar,Park,TX,1.5,"1,024",2022-01-11,Apartment,1.232,0.02
125,17/01/2022,as1631a3,"1210 W Whitestone Xing, Unit 232731-1024
Austin, TX 78613","1210 W Whitestone Xing, Unit 232731-1024",Austin,TX,78613,1.5,"1,024",2021-09-18,Apartment,1.712,0.07
126,17/01/2022,as1631a3,"1507 Cedar Park Rd
Cedar Park, TX 78613",1507 Cedar Park Rd,Cedar,Park,TX,1.0,"2,864",2022-01-11,Apartment,0.302,0.58
127,17/01/2022,as1631a3,"1045 Silverstone Ln
Cedar Park, TX 78613",1045 Silverstone Ln,Cedar,Park,TX,2.0,"1,153",2021-06-19,Single Family,1.732,0.2
128,17/01/2022,as1631a3,"1018 Audra St
Cedar Park, TX 78613",1018 Audra St,Cedar,Park,TX,2.0,"1,165",2022-01-11,Single Family,1.732,0.21
129,17/01/2022,as1631a3,"1006 Reynaldo St
Cedar Park, TX 78613",1006 Reynaldo St,Cedar,Park,TX,2.0,"1,297",2022-01-02,Single Family,1.202,0.27
130,17/01/2022,as1631a3,"800 Lone Star Dr
Cedar Park, TX 78613",800 Lone Star Dr,Cedar,Park,TX,2.0,"1,253",2021-06-19,Single Family,1.522,0.49
131,17/01/2022,as1631a3,"1201 Brashear Ln
Cedar Park, TX 78613",1201 Brashear Ln,Cedar,Park,TX,2.0,"1,343",2021-11-15,Single Family,1.302,0.23
132,17/01/2022,as1631a3,"2006 Coachlamp Dr
Cedar Park, TX 78613",2006 Coachlamp Dr,Cedar,Park,TX,2.0,"1,180",2021-12-29,Single Family,1.522,0.88
133,17/01/2022,as1631a3,"1047 Silverstone Ln
Cedar Park, TX 78613",1047 Silverstone Ln,Cedar,Park,TX,2.0,"1,368",2021-09-13,Single Family,1.352,0.2
134,17/01/2022,as1631a3,"1301 W Whitestone Blvd
Cedar Park, TX 78613",1301 W Whitestone Blvd,Cedar,Park,TX,,,2022-01-11,Apartment,,0.13
135,17/01/2022,as1631a3,"703 Blue Oak Cir
Cedar Park, TX 78613",703 Blue Oak Cir,Cedar,Park,TX,2.0,"1,303",2021-06-20,Single Family,1.372,0.52
136,17/01/2022,as1631a3,"1101 Doris Ln
Cedar Park, TX 78613",1101 Doris Ln,Cedar,Park,TX,2.0,"1,316",2021-06-30,Single Family,1.442,0.47
137,17/01/2022,as1631a3,"1004 W Whitestone Blvd, Unit 142820
Cedar Park, TX 78613","1004 W Whitestone Blvd, Unit 142820",Cedar,Park,TX,2.0,"1,150",2021-09-19,Apartment,1.262,0.15
138,17/01/2022,as1631a3,"1004 W Whitestone Blvd, # 142820
Cedar Park, TX 78613","1004 W Whitestone Blvd, # 142820",Cedar,Park,TX,2.0,"1,150",2021-06-30,Apartment,1.262,0.15
139,17/01/2022,as1631a3,"1813 Woodstone Ct
Cedar Park, TX 78613",1813 Woodstone Ct,Cedar,Park,TX,2.0,"1,296",2021-08-11,Single Family,1.622,0.78
140,17/01/2022,as1631b1,"1201 W Whitestone Blvd
Cedar Park, TX 78613",1201 W Whitestone Blvd,Cedar,Park,TX,1.5,"1,024",2022-01-11,Apartment,1.232,0.02
141,17/01/2022,as1631b1,"1210 W Whitestone Xing, Unit 232731-1024
Austin, TX 78613","1210 W Whitestone Xing, Unit 232731-1024",Austin,TX,78613,1.5,"1,024",2021-09-18,Apartment,1.712,0.07
142,17/01/2022,as1631b1,"1201 W Whitestone Crossing Cedar Park
Cedar Park, TX 78613",1201 W Whitestone Crossing Cedar Park,Cedar,Park,TX,1.0,687,2021-06-30,Apartment,1.462,0.02
143,17/01/2022,as1631b1,"1210 W Whitestone Xing, Unit 232731-687
Austin, TX 78613","1210 W Whitestone Xing, Unit 232731-687",Austin,TX,78613,1.0,687,2021-09-18,Apartment,1.742,0.07
